2017-05-31 21:54:34,q4 - what are your priorities for making britain a safer country and the world a safer place
2017-05-31 21:54:36,s
2017-05-31 21:56:28,.
2017-05-31 21:56:34,l
2017-05-31 21:57:55,.
2017-05-31 21:58:00,l
2017-05-31 21:58:49,.
2017-05-31 21:59:01,l
2017-05-31 21:59:07,.
2017-05-31 21:59:08,l
2017-05-31 21:59:29,.
2017-05-31 21:59:33,c
2017-05-31 22:00:19,.
2017-05-31 22:00:24,c
2017-05-31 22:01:08,l
2017-05-31 22:01:46,.
2017-05-31 22:01:48,c
2017-05-31 22:01:50,.
2017-05-31 22:01:51,l
2017-05-31 22:01:54,c
2017-05-31 22:01:55,.
2017-05-31 22:02:09,ld
2017-05-31 22:03:44,.
2017-05-31 22:03:44,u
2017-05-31 22:04:13,.
2017-05-31 22:04:15,u
2017-05-31 22:04:19,ld
2017-05-31 22:04:20,u
2017-05-31 22:05:19,ld
2017-05-31 22:05:20,u
2017-05-31 22:05:21,ld
2017-05-31 22:05:28,.
2017-05-31 22:05:29,g
2017-05-31 22:06:00,u
2017-05-31 22:06:01,g
2017-05-31 22:07:11,.
2017-05-31 22:07:12,c
2017-05-31 22:07:20,g
2017-05-31 22:07:22,c
2017-05-31 22:07:25,s
2017-05-31 22:07:26,c
2017-05-31 22:07:28,g
2017-05-31 22:07:35,c
2017-05-31 22:07:38,.
2017-05-31 22:07:39,p
2017-05-31 22:08:04,.
2017-05-31 22:08:10,p
2017-05-31 22:08:28,.
2017-05-31 22:08:31,p
2017-05-31 22:09:06,.
2017-05-31 22:09:10,ld
2017-05-31 22:09:36,.
2017-05-31 22:09:37,ld
2017-05-31 22:09:39,u
2017-05-31 22:10:02,.
2017-05-31 22:10:03,g
2017-05-31 22:10:09,u
2017-05-31 22:10:23,s
2017-05-31 22:10:24,u
2017-05-31 22:10:30,s
2017-05-31 22:10:39,u
2017-05-31 22:10:39,s
2017-05-31 22:11:01,.
2017-05-31 22:11:04,l
2017-05-31 22:11:19,u
2017-05-31 22:11:20,l
2017-05-31 22:11:25,u
2017-05-31 22:11:27,l
2017-05-31 22:11:47,.
2017-05-31 22:12:13,q5 - how will panellists deal with trump pulling out of climate change agreement
2017-05-31 22:12:14,ld
2017-05-31 22:13:06,.
2017-05-31 22:13:08,g
2017-05-31 22:14:28,.
2017-05-31 22:14:31,u
2017-05-31 22:14:54,.
2017-05-31 22:14:55,u
2017-05-31 22:15:14,.
2017-05-31 22:15:26,l
2017-05-31 22:16:08,pause
2017-05-31 22:16:55,restart
2017-05-31 22:16:59,.
2017-05-31 22:17:00,c
2017-05-31 22:17:05,.
2017-05-31 22:17:10,c
2017-05-31 22:17:35,p
2017-05-31 22:17:41,c
2017-05-31 22:17:42,p
2017-05-31 22:17:43,c
2017-05-31 22:17:58,l
2017-05-31 22:17:59,p
2017-05-31 22:18:00,l
2017-05-31 22:18:03,p
2017-05-31 22:18:31,.
2017-05-31 22:18:33,s
2017-05-31 22:19:51,.
2017-05-31 22:20:20,q6 - in what way does your leadership have the talent and character needed to take this country forward
2017-05-31 22:20:21,l
2017-05-31 22:21:26,.
2017-05-31 22:21:30,u
2017-05-31 22:22:41,p
2017-05-31 22:22:47,u
2017-05-31 22:23:03,p
2017-05-31 22:23:07,u
2017-05-31 22:23:08,p
2017-05-31 22:23:15,u
2017-05-31 22:23:17,p
2017-05-31 22:23:18,u
2017-05-31 22:23:26,.
2017-05-31 22:23:39,c
2017-05-31 22:23:49,s
2017-05-31 22:23:49,c
2017-05-31 22:23:58,l
2017-05-31 22:24:01,c
2017-05-31 22:24:47,.
2017-05-31 22:24:49,l
2017-05-31 22:25:00,.
2017-05-31 22:25:01,g
2017-05-31 22:26:22,.
2017-05-31 22:26:23,ld
2017-05-31 22:26:48,.
2017-05-31 22:26:48,ld
2017-05-31 22:27:48,.
2017-05-31 22:27:54,s
2017-05-31 22:27:59,pause
2017-05-31 23:38:18,test
2017-05-31 23:39:38,restart
2017-05-31 23:40:48,.
2017-05-31 23:40:50,p
2017-05-31 23:41:29,.
2017-05-31 23:41:50,closing remarks
2017-05-31 23:42:01,u
2017-05-31 23:42:40,.
2017-05-31 23:42:42,g
2017-05-31 23:43:22,.
2017-05-31 23:43:24,l
2017-05-31 23:43:55,.
2017-05-31 23:43:57,s
2017-05-31 23:44:27,.
2017-05-31 23:44:29,p
2017-05-31 23:45:05,.
2017-05-31 23:45:06,ld
2017-05-31 23:45:38,.
2017-05-31 23:45:41,c
2017-05-31 23:46:13,.
2017-05-31 23:46:46,credits
2017-05-31 23:47:11,end
